,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
107,"[36,280]",101698,57,6250000,0.0005604829986823733,109649.12280701754,61456.469153769
108,"[36,270]",102913,62,6249983,0.0006024506136251009,100806.17741935483,60730.743443491105
109,"[36,260]",104488,52,6249988,0.0004976648036138121,120192.07692307692,59815.366357859275
110,"[36,250]",106348,56,6249968,0.0005265731372475269,111606.57142857143,58769.022454583064
111,"[36,240]",108166,55,6249970,0.0005084777101861952,113635.81818181818,57781.28062422573
112,"[36,230]",110028,55,6249859,0.0004998727596611771,113633.8,56802.441196786276
113,"[36,220]",112271,56,6249947,0.0004987930988411967,111606.19642857143,55668.400566486445
114,"[36,210]",114584,56,6249959,0.0004887244292396844,111606.41071428571,54544.779375829086
115,"[36,200]",116868,64,6249985,0.0005476263819009481,97656.015625,53479.0105075812
116,"[36,190]",119348,64,6249972,0.0005362469417166605,97655.8125,52367.63079398063
117,"[36,180]",122314,63,6249966,0.0005150677763788282,99205.80952380953,51097.71571529016
118,"[36,170]",125702,63,6249962,0.0005011853431130769,99205.74603174604,49720.46586370941
119,"[36,160]",129189,61,6249952,0.0004721764236893234,102458.22950819672,48378.36038672023
120,"[41,300]",98837,59,6249922,0.0005969424405839919,105930.8813559322,63234.638849823445
121,"[41,290]",99964,60,6249985,0.0006002160777880037,104166.41666666667,62522.3580488976
122,"[41,280]",101014,54,6249968,0.0005345793652365018,115740.14814814815,61872.29492941572
123,"[41,270]",102823,60,6249919,0.0005835270318897523,104165.31666666667,60783.27806035615
124,"[41,260]",104108,51,6249955,0.0004898758981058132,122548.13725490196,60033.378798939564
125,"[41,250]",105624,59,6249960,0.0005585851700371128,105931.52542372882,59171.77914110429
126,"[41,240]",107301,58,6249905,0.0005405355029310071,107756.9827586207,58246.4748697589
127,"[41,230]",109323,56,6249968,0.0005122435352121694,111606.57142857143,57169.74470148093
128,"[41,220]",111376,53,6249969,0.00047586553656083896,117923.94339622642,56115.940597615285
129,"[41,210]",113597,57,6249959,0.0005017738144493252,109648.40350877192,55018.69767687527
130,"[41,200]",116288,57,6249981,0.0004901623555310952,109648.78947368421,53745.70892955421
131,"[41,190]",118732,57,6249992,0.0004800727689249739,109648.98245614035,52639.49061752518
132,"[41,180]",121600,61,6249928,0.0005016447368421052,102457.83606557376,51397.43421052631
133,"[41,170]",124230,59,6249985,0.0004749255413346213,105931.94915254238,50309.78829590276
134,"[41,160]",127832,60,6249955,0.0004693660429313474,104165.91666666667,48891.944114149825
135,"[46,300]",98504,56,6249988,0.0005685048322910744,111606.92857142857,63449.07821002193
136,"[46,290]",99484,60,6249948,0.0006031120582204174,104165.8,62823.65003417635
137,"[46,280]",100685,62,6249950,0.0006157818940259224,100805.64516129032,62074.291105924414
138,"[46,270]",101873,54,6249993,0.0005300717560099339,115740.61111111111,61350.82897332954
139,"[46,260]",103750,58,6249892,0.0005590361445783132,107756.75862068965,60239.92289156627
140,"[46,250]",105146,54,6249988,0.0005135716051965838,115740.51851851853,59441.04388184049
141,"[46,240]",106575,57,6249925,0.0005348346235045742,109647.80701754386,58643.443584330285
142,"[46,230]",108703,58,6249996,0.0005335639310782591,107758.55172413793,57496.07646523095
143,"[46,220]",110640,52,6249989,0.0004699927693420101,120192.09615384616,56489.416124367315
144,"[46,210]",112772,60,6249920,0.0005320469620118469,104165.33333333333,55420.84914695137
145,"[46,200]",115198,59,6249988,0.0005121616694734283,105932.0,54254.30997065921
146,"[46,190]",117588,61,6249970,0.0005187604177297003,102458.52459016393,53151.42701636221
147,"[46,180]",120463,59,6249993,0.0004897769439578958,105932.08474576271,51883.09273386849
148,"[46,170]",123148,61,6249947,0.000495338941761133,102458.14754098361,50751.510377756844
149,"[46,160]",126330,65,6249967,0.000514525449220296,96153.33846153846,49473.33966595425
150,"[51,300]",98008,56,6249933,0.000571381928005877,111605.94642857143,63769.62084727777
151,"[51,290]",99079,53,6249979,0.0005349266746737452,117924.1320754717,63080.76383491961
152,"[51,280]",100293,54,6249935,0.0005384224223026532,115739.53703703704,62316.76188766913
153,"[51,270]",101478,53,6249985,0.0005222806913813832,117924.24528301887,61589.55635704291
154,"[51,260]",102785,61,6249934,0.0005934718100890207,102457.9344262295,60805.895801916624
155,"[51,250]",104397,55,6249959,0.0005268350623102196,113635.61818181818,59867.22798547851
156,"[51,240]",106176,54,6249991,0.0005085895117540687,115740.57407407407,58864.44205846896
